naslov,postavka_neto,lokacija,opis,prosta_mesta,trajanje,delovnik,sifra,narava_dela

PROGRAMIRANJE,"7,60",MARIBOR,"Razvoj programske opreme na strani strežnika. Pogoji: izkušnje s programiranjem, znanje angleškega jezika. Prednost je, če znaš uporabljati SQL, Javascript and HTML.",1, DLJE ČASA (OBČASNO), Po dogovoru,308948, začasno in občasno delo

DELJENJE LETAKOV,"4,13",LJUBLJANA RUDNIK,Deljenje letakov v okolici trgovine. Delovni čas po dogovoru.,2, 1 TEDEN, Po dogovoru,308947, začasno in občasno delo

POMOČ UPORABNIKOM,"5,00",LJUBLJANA CENTER,"Mlado in energično mednarodno podjetje išče osebe za delo v podpori uporabnikom. Iščejo zanesljivo, komunikativno in pozitivno naravnano osebo, ki je sposobna te kvalitete ohraniti tudi v stresnih situacijah. Urnik je izmenski, od 11. do 17.ure oz. od 17. do 23.ure,  Prijave s CV-jem pošljite na e-naslov.",1, DLJE ČASA (OBČASNO), Izmensko,308945, začasno in občasno delo

BLAGAJNIK,"4,13",KRANJ,"Podjetje išče polnoletne, komunikativne in samoiniciativne osebe za delo na blagajni kinematografa - prodaja kart in prigrizkov. Iščejo zanesljive osebe za popoldansko delo, med vikendi, prazniki in šolskimi počitnicami. Prijave z opisom in kontaktom ali CV-jem pošljite na e-mail.",4, DLJE ČASA (OBČASNO), Popoldan,308944, začasno in občasno delo

DELO S STRANKAMI,"5,00",TRZIN,"Podjetje potrebuje osebo za pomoč strankam za Italijo, tako da je pogoj odlično znanje italjanskega jezika. Delo večinoma na računalniku, na Facebooku in po mailih. Delo po želji lahko tudi med vikendi. Možnost kasnejše redne zaposlitve.",1, DLJE ČASA (OBČASNO), Dopoldan,308943, začasno in občasno delo

STREŽBA,"5,50",LJUBLJANA,"Strežba v lokalu v centru Ljubljane, pri Zmajskem mostu. Delo je izmensko, urnik je fleksibilen. Zaželene so izkušnje in razpoložljivost vsaj 3-4 dni v tednu, tudi med vikendom. Pogoji: prijaznost in izkušnje pri delu s strankami. Nudijo dobro plačilo z možnostjo dodatnih dnevnih in mesečnih bonusov. Za več informacij pokliči.",2, DLJE ČASA (OBČASNO), Izmensko,308942, začasno in občasno delo

POMOČ PRI PRODAJI,"4,13",TRŽIČ,Podjetje potrebuje osebo za pomoč pri prodaji tekstilnih izdelkov in skrb za poslovalnico.,1, DLJE ČASA (OBČASNO), Po dogovoru,308941, začasno in občasno delo

ADMINISTRATIVNA DELA,"5,49",LJUBLJANA,"V trgovini z lesom in lesnimi polizdelki (vezane, opažne in druge plošče, furnir, žagan les) podjetje išče polnoletno osebo z izkušnjami pri delu blagajničarja in za druga administrativna dela. Občasno tudi za pomoč pri pripravi blaga v skladišču.",1, DLJE ČASA (OBČASNO), Dopoldan,308940, začasno in občasno delo

